Numbered Heading,Type
1. Which set of Amazon S3 features helps to prevent and recover from accidental data loss?,Single Answer
2. What is the minimum time Interval for the data that Amazon CloudWatch receives and aggregates?,Single Answer
3. A user has launched an EC2 instance. The instance got terminated as soon as it was launched. Which of the below mentioned options is not a possible reason for this?,Single Answer
4. Your website is serving on-demand training videos to your workforce. Videos are uploaded monthly in high resolution MP4 format. Your workforce is distributed globally often on the move and using company-provided tablets that require the HTTP Live Streaming (HLS) protocol to watch a video. Your company has no video transcoding expertise and it required you may need to pay for a consultant. How do you implement the most cost-efficient architecture without compromising high availability and quality of video delivery'?,Single Answer
5. You are designing an intrusion detection prevention (IDS/IPS) solution for a customer web application in a single VPC. You are considering the options for implementing IOS IPS protection for traffic coming from the Internet. Which of the following options would you consider? (Choose 2 answers),Multiple Answers (Checkbox)
6. Which of the following are valid statements about Amazon S3? (Choose 2 answers),Multiple Answers (Checkbox)
"7. How can the domain's zone apex, for example, 'myzoneapexdomain.com', be pointed towards an Elastic Load Balancer?",Single Answer
8. When should I choose Provisioned IOPS over Standard RDS storage?,Single Answer
9. Your department creates regular analytics reports from your company's log files All log data is collected in Amazon S3 and processed by daily Amazon Elastic MapReduce (EMR) jobs that generate daily PDF reports and aggregated tables in CSV format for an Amazon Redshift data warehouse. Which of the following alternatives will lower costs without compromising average performance of the system or data integrity for the raw data?,Single Answer
"10. Because of the extensibility limitations of striped storage attached to Windows Server, Amazon RDS does not currently support increasing storage on a [...] DB Instance.",Single Answer
"11. In regards to IAM you can edit user properties later, but you cannot use the console to change the [...].",Single Answer
"12. In Amazon EC2 Container Service, are other container types supported?",Single Answer
"13. Content and Media Server is the latest requirement that you need to meet for a client. The client has been very specific about his requirements such as low latency, high availability, durability, and access control. Potentially there will be millions of views on this server and because of 'spiky' usage patterns, operations teams will need to provision static hardware, network, and management resources to support the maximum expected need. The Customer base will be initially low but is expected to grow and become more geographically distributed. Which of the following would be a good solution for content distribution?",Single Answer
14. Name the disk storage supported by Amazon Elastic Compute Cloud (EC2),Single Answer
"15. After an Amazon VPC instance is launched, can I change the VPC security groups it belongs to?",Single Answer
"16. If I want an instance to have a public IP address, which IP address should I use?",Single Answer
17. Amazon RDS supports SOAP only through [...].,Single Answer
18. Which of the following services natively encrypts data at rest within an AWS region? (Choose 2 answers),Multiple Answers (Checkbox)
19. Which one of the following can't be used as an origin server with Amazon CloudFront?,Single Answer
20. Select the most correct The device name /dev/sdal (within Amazon EC2) is [...].,Single Answer
"21. How can I change the security group membership for interfaces owned by other AWS, such as Elastic Load Balancing?",Single Answer
22. You have created a Route 53 latency record set from your domain to a machine in Northern Virginia and a similar record to a machine in Sydney. When a user located in US visits your domain he will be routed to,Single Answer
"23. In the context of MySQL, version numbers are organized as MySQL version = X.Y.Z. What does X denote here?",Single Answer
24. Which one of the below doesn't affect Amazon CloudFront billing?,Single Answer
25. Just when you thought you knew every possible storage option on AWS you hear someone mention Reduced Redundancy Storage (RRS) within Amazon S3. What is the ideal scenario to use Reduced Redundancy Storage (RRS)?,Single Answer
26. $ aws sqs receive-message –queue-urlhttps://queue.amazonaws.com/546419318123/Test,Single Answer
"27. When running my DB Instance as a Multi-AZ deployment, can I use the standby for read or write operations?",Single Answer
"28. In the Launch Db Instance Wizard, where can I select the backup and maintenance options?",Single Answer
29. What is the network performance offered by the c4.8xlarge instance in Amazon EC2?,Single Answer
"30. In Amazon EC2, if your EBS volume stays in the detaching state, you can force the detachment by clicking [...].",Single Answer
31. What does Amazon DynamoDB provide?,Single Answer
"32. Security groups act like a firewall at the instance level, whereas [...] are an additional layer of security that act at the subnet level.",Single Answer
"33. You have been asked to tighten up the password policies in your organization after a serious security breach, so you need to consider every possible security measure. Which of the following is not an account password policy for IAM Users that can be set?",Single Answer
34. Multi-AZ deployment [...] supported for Microsoft SQL Server DB Instances.,Single Answer
35. What does Amazon Elastic Beanstalk provide?,Single Answer
36. You need to quickly set up an email-sending service because a client needs to start using it in the next hour. Amazon Simple Email Service (Amazon SES) seems to be the logical choice but there are several options available to set it up. Which of the following options to set up SES would best meet the needs of the client?,Single Answer
37. A user is observing the EC2 CPU utilization metric on CloudWatch. The user has observed some interesting patterns while filtering over the 1 week period for a particular hour. The user wants to zoom that data point to a more granular period. How can the user do that easily with CloudWatch?,Single Answer
