Question,Type,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6
1. Which set of Amazon S3 features helps to prevent and recover from accidental data loss?,Single Answer,Object lifecycle and service access logging.,Object versioning and Multi-factor authentication.,Access controls and server-side encryption.,Website hosting and Amazon S3 policies.,,
2. What is the minimum time Interval for the data that Amazon CloudWatch receives and aggregates?,Single Answer,One second.,Five seconds.,One minute.,Three minutes.,Five minutes.,
3. A user has launched an EC2 instance. The instance got terminated as soon as it was launched. Which of the below mentioned options is not a possible reason for this?,Single Answer,The user account has reached the maximum volume limit.,The AMI is missing. It is the required part.,The snapshot is corrupt.,The user account has reached the maximum EC2 instance limit.,,
4. Your website is serving on-demand training videos to your workforce. Videos are uploaded monthly in high resolution MP4 format. Your workforce is distributed globally often on the move and using company-provided tablets that require the HTTP Live Streaming (HLS) protocol to watch a video. Your company has no video transcoding expertise and it required you may need to pay for a consultant. How do you implement the most cost-efficient architecture without compromising high availability and quality of video delivery'?,Single Answer,A video transcoding pipeline running on EC2 using SQS to distribute tasks and Auto Scaling to adjust the number of nodes depending on the length of the queue. EBS volumes to host videos and EBS snapshots to incrementally backup original files after a few days. CloudFront to serve HLS transcoded videos from EC2.,Elastic Transcoder to transcode original high-resolution MP4 videos to HL.,EBS volumes to host videos and EBS snapshots to incrementally backup original files after a few days. CloudFront to serve HLS transcoded videos from EC2.,Amazon S3 to host videos with Lifecycle Management to archive original files to Glacier after a few days. CloudFront to serve HLStranscoded videos from S3.,A video transcoding pipeline running on EC2 using SQS to distribute tasks and Auto Scaling to adjust the number of nodes depending on the length of the queue. S3 to host videos with Lifecycle Management to archive all files to Glacier after a few days. CloudFront to serve HLS transcoded videos from Glacier.,
5. You are designing an intrusion detection prevention (IDS/IPS) solution for a customer web application in a single VPC. You are considering the options for implementing IOS IPS protection for traffic coming from the Internet. Which of the following options would you consider? (Choose 2 answers),Multiple Answers (Checkbox),Implement IDS/IPS agents on each Instance running in VPC.,Configure an instance in each subnet to switch its network interface card to promiscuous mode and analyze network traffic.,Implement Elastic Load Balancing with SSL listeners in front of the web applications.,Implement a reverse proxy layer in front of web servers and configure IDS/ IPS agents on each reverse proxy server.,,
6. Which of the following are valid statements about Amazon S3? (Choose 2 answers),Multiple Answers (Checkbox),Amazon S3 provides read-after-write consistency for any type of PUT or DELETE.,Consistency is not guaranteed for any type of PUT or DELETE.,A successful response to a PUT request only occurs when a complete object is saved.,Partially saved objects are immediately readable with a GET after an overwrite PU.,S3 provides eventual consistency for overwrite PUTS and DELETE.,
"7. How can the domain's zone apex, for example, 'myzoneapexdomain.com', be pointed towards an Elastic Load Balancer?",Single Answer,By using an Amazon Route 53 Alias record.,By using an AAAA record.,By using an Amazon Route 53 CNAME record.,By using an A record.,,
8. When should I choose Provisioned IOPS over Standard RDS storage?,Single Answer,If you have batch-oriented workloads.,If you use production online transaction processing (OLTP) workloads.,If you have workloads that are not sensitive to consistent performance.,,,
9. Your department creates regular analytics reports from your company's log files All log data is collected in Amazon S3 and processed by daily Amazon Elastic MapReduce (EMR) jobs that generate daily PDF reports and aggregated tables in CSV format for an Amazon Redshift data warehouse. Which of the following alternatives will lower costs without compromising average performance of the system or data integrity for the raw data?,Single Answer,Use reduced redundancy storage (RRS) for all data in S3. Use a combination of Spot Instances and Reserved Instances for Amazon EMR jobs. Use Reserved Instances for Amazon Redshift.,Use reduced redundancy storage (RRS) for PDF and .csv data in S3. Add Spot Instances to EMR jobs. Use Spot Instances for Amazon Redshift.,Use reduced redundancy storage (RRS) for PDF and .csv data in Amazon S3. Add Spot Instances to Amazon EMR jobs. Use Reserved Instances for Amazon Redshift.,Use reduced redundancy storage (RRS) for all data in Amazon S3. Add Spot Instances to Amazon EMR jobs. Use Reserved Instances for Amazon Redshift.,,
"10. Because of the extensibility limitations of striped storage attached to Windows Server, Amazon RDS does not currently support increasing storage on a [...] DB Instance.",Single Answer,SQL Server.,MySQL.,Oracle.,,,
"11. In regards to IAM you can edit user properties later, but you cannot use the console to change the [...].",Single Answer,user name.,password.,default group.,,,
"12. In Amazon EC2 Container Service, are other container types supported?",Single Answer,"Yes, EC2 Container Service supports any container service you need.","Yes, EC2 Container Service also supports Microsoft container service.","No, Docker is the only container platform supported by EC2 Container Service presently.","Yes, EC2 Container Service supports Microsoft container service and Openstack.",,
"13. Content and Media Server is the latest requirement that you need to meet for a client. The client has been very specific about his requirements such as low latency, high availability, durability, and access control. Potentially there will be millions of views on this server and because of 'spiky' usage patterns, operations teams will need to provision static hardware, network, and management resources to support the maximum expected need. The Customer base will be initially low but is expected to grow and become more geographically distributed. Which of the following would be a good solution for content distribution?",Single Answer,Amazon S3 as both the origin server and for caching.,AWS Storage Gateway as the origin server and Amazon EC2 for caching.,AWS CloudFront as both the origin server and for caching.,Amazon S3 as the origin server and Amazon CloudFront for caching.,,
14. Name the disk storage supported by Amazon Elastic Compute Cloud (EC2),Single Answer,None of these.,Amazon AppStream store.,Amazon SNS store.,Amazon Instance Store.,,
"15. After an Amazon VPC instance is launched, can I change the VPC security groups it belongs to?",Single Answer,Only if the tag 'VPC_Change_Group' is true.,Yes. You can.,No. You cannot.,Only if the tag 'VPC Change Group' is true.,,
"16. If I want an instance to have a public IP address, which IP address should I use?",Single Answer,Elastic IP Address.,Class B IP Address.,Class A IP Address.,Dynamic IP Address.,,
17. Amazon RDS supports SOAP only through [...].,Single Answer,HTTP or HTTPS.,TCP/IP.,HTTP.,HTTPS.,,
18. Which of the following services natively encrypts data at rest within an AWS region? (Choose 2 answers),Multiple Answers (Checkbox),AWS Storage Gateway.,Amazon DynamoDB.,Amazon CloudFront.,Amazon Glacier.,Amazon Simple Queue Service.,
19. Which one of the following can't be used as an origin server with Amazon CloudFront?,Single Answer,A web server running in your infrastructure.,Amazon S3.,Amazon Glacier.,A web server running on Amazon EC2 instances.,,
20. Select the most correct The device name /dev/sdal (within Amazon EC2) is [...].,Single Answer,possible for EBS volumes.,reserved for the root device.,recommended for EBS volumes.,recommended for instance store volumes.,,
"21. How can I change the security group membership for interfaces owned by other AWS, such as Elastic Load Balancing?",Single Answer,By using the service specific console or APICLI commands.,None of these.,Using Amazon EC2 API/CLI.,Using all these methods.,,
22. You have created a Route 53 latency record set from your domain to a machine in Northern Virginia and a similar record to a machine in Sydney. When a user located in US visits your domain he will be routed to,Single Answer,Northern Virginia.,Sydney.,"Both, Northern Virginia and Sydney.",Depends on the Weighted Resource Record Sets.,,
"23. In the context of MySQL, version numbers are organized as MySQL version = X.Y.Z. What does X denote here?",Single Answer,Release level.,Minor version.,Version number.,Major version.,,
24. Which one of the below doesn't affect Amazon CloudFront billing?,Single Answer,Distribution Type.,Data Transfer Out.,Dedicated IP SSL Certificates.,Requests.,,
25. Just when you thought you knew every possible storage option on AWS you hear someone mention Reduced Redundancy Storage (RRS) within Amazon S3. What is the ideal scenario to use Reduced Redundancy Storage (RRS)?,Single Answer,Huge volumes of data.,Sensitive data.,Non-critical or reproducible data.,Critical data.,,
26. $ aws sqs receive-message –queue-urlhttps://queue.amazonaws.com/546419318123/Test,Single Answer,3.,4.,2.,1.,,
"27. When running my DB Instance as a Multi-AZ deployment, can I use the standby for read or write operations?",Single Answer,Yes.,Only with MSSQL based RDS.,Only for Oracle RDS instances.,No.,,
"28. In the Launch Db Instance Wizard, where can I select the backup and maintenance options?",Single Answer,Under DB INSTANCE DETAILS.,Under REVI EW.,Under MANAGEMENT OPTIONS.,Under ENGINE SELECTION.,,
29. What is the network performance offered by the c4.8xlarge instance in Amazon EC2?,Single Answer,20 Gigabit.,10 Gigabit.,Very High but variable.,5 Gigabit.,,
"30. In Amazon EC2, if your EBS volume stays in the detaching state, you can force the detachment by clicking [...].",Single Answer,Force Detach.,Detach Instance.,AttachVolume.,AttachInstance.,,
31. What does Amazon DynamoDB provide?,Single Answer,A predictable and scalable MySQL database.,A fast and reliable PL/SQL database cluster.,"A standalone Cassandra database, managed by Amazon Web Services.","A fast, highly scalable managed NoSQL database service.",,
"32. Security groups act like a firewall at the instance level, whereas [...] are an additional layer of security that act at the subnet level.",Single Answer,DB Security Groups.,VPC Security Groups.,network ACLs.,,,
"33. You have been asked to tighten up the password policies in your organization after a serious security breach, so you need to consider every possible security measure. Which of the following is not an account password policy for IAM Users that can be set?",Single Answer,Force IAM users to contact an account administrator when the user has allowed his or her password to expire.,A minimum password length.,Force IAM users to contact an account administrator when the user has entered his password incorrectly.,Prevent IAM users from reusing previous passwords.,,
34. Multi-AZ deployment [...] supported for Microsoft SQL Server DB Instances.,Single Answer,is not currently.,is as of 2013.,is planned to be in 2014.,will never be.,,
35. What does Amazon Elastic Beanstalk provide?,Single Answer,A scalable storage appliance on top of Amazon Web Services.,An application container on top of Amazon Web Services.,A service by this name doesn't exist.,A scalable cluster of EC2 instances.,,
36. You need to quickly set up an email-sending service because a client needs to start using it in the next hour. Amazon Simple Email Service (Amazon SES) seems to be the logical choice but there are several options available to set it up. Which of the following options to set up SES would best meet the needs of the client?,Single Answer,Amazon SES console.,AWS CloudFormation.,SMTP Interface.,AWS Elastic Beanstalk.,,
37. A user is observing the EC2 CPU utilization metric on CloudWatch. The user has observed some interesting patterns while filtering over the 1 week period for a particular hour. The user wants to zoom that data point to a more granular period. How can the user do that easily with CloudWatch?,Single Answer,The user can zoom a particular period by selecting that period with the mouse and then releasing the mouse.,The user can zoom a particular period by specifying the aggregation data for that period.,The user can zoom a particular period by double clicking on that period with the mouse.,The user can zoom a particular period by specifying the period in the Time Range.,,
38. A company is running a batch analysis every hour on their main transactional DB. running on an RDS MySQL instance to populate their central Data Warehouse running on Redshift During the execution of the batch their transactional applications are very slow When the batch completes they need to update the top management dashboard with the new data The dashboard is produced by another system running on-premises that is currently started when a manually-sent email notifies that an update is required The on-premises system cannot be modified because is managed by another team. How would you optimize this scenario to solve performance issues and automate the process as much as possible? How would you optimize this scenario to solve performance issues and automate the process as much as possible?,Single Answer,Replace RDS with Redshift for the batch analysis and SNS to notify the on-premises system to update the dashboard.,Replace ROS with Redshift for the oaten analysis and SQS to send a message to the on-premises system to update the dashboard.,Create an RDS Read Replica for the batch analysis and SNS to notify me on-premises system to update the dashboard.,Create an RDS Read Replica for the batch analysis and SQS to send a message to the on-premises system to update the dashboard.,,
